commodity,model,mae,rmse,wape_pct,abs_error_sum,actual_sum
COUPON/MISC ITEMS,Seasonal Naive,469.85249999999985,699.6624333205261,7.292399651950212,3758.819999999999,51544.35
COUPON/MISC ITEMS,Moving Average (4 weeks),843.1418750000003,983.0299699971006,13.086080239638296,6745.135000000002,51544.35
COUPON/MISC ITEMS,Random Forest,677.2665789587846,795.5028431987906,10.511593669665594,5418.132631670277,51544.35
SOFT DRINKS,Seasonal Naive,349.09625000000005,406.8705886243192,10.029858615111893,2792.7700000000004,27844.56
SOFT DRINKS,Moving Average (4 weeks),405.8043749999998,591.9873056335329,11.65913557262172,3246.4349999999986,27844.56
SOFT DRINKS,Random Forest,612.9174460079582,844.5668523198555,17.60968594247374,4903.339568063666,27844.56
BEEF,Seasonal Naive,401.81000000000006,573.0515162269445,12.45432996488977,3214.4800000000005,25810.14
BEEF,Moving Average (4 weeks),444.68000000000006,538.2812445355588,13.78311004899625,3557.4400000000005,25810.14
BEEF,Random Forest,502.6709141283381,686.0494371576723,15.580571484799016,4021.367313026705,25810.14
FLUID MILK PRODUCTS,Seasonal Naive,236.73250000000007,310.66253073069504,9.830762386819787,1893.8600000000006,19264.629999999997
FLUID MILK PRODUCTS,Moving Average (4 weeks),157.86375000000024,216.7942503561847,6.555589180794036,1262.910000000002,19264.629999999997
FLUID MILK PRODUCTS,Random Forest,131.96231876860097,183.53017219598925,5.4799835249823525,1055.6985501488077,19264.629999999997
CHEESE,Seasonal Naive,182.79250000000005,250.4119315747555,8.820068408999205,1462.3400000000004,16579.690000000002
CHEESE,Moving Average (4 weeks),389.25937500000003,457.30219035119444,18.782468188488444,3114.0750000000003,16579.690000000002
CHEESE,Random Forest,224.78151674107167,298.3101052509585,10.846114335844478,1798.2521339285734,16579.690000000002
